genotype	texture	date_plate	avg6	avg1
ORL	80	mar_10_1_2	24.022	15.033
ORL	80	mar_10_1_2	30.375	21.024
ORL	80	mar_10_1_2	36.062	15.652
ORL	80	mar_10_1_2	47.845	30.414
ORL	80	mar_10_1_2	43.998	15.524
ORL	80	mar_10_1_2	63.821	29.206
ORL	80	mar_10_1_2	31.52	14.318
ORL	80	mar_10_1_2	39.866	8.944
ORL	80	mar_10_1_2	33.274	11.705
ORL	80	mar_10_1_2	68.578	40.792
ORL	80	mar_10_1_2	48.502	28.636
ORL	80	mar_10_1_2	37.676	17.72
ORL	80	mar_10_1_2	58.782	22.561
ORL	80	mar_10_1_2	41.03	14.036
ORL	80	mar_10_1_2	55.155	46.098
ORL	80	mar_10_1_2	35.086	16.125
ORL	80	mar_10_1_2	51.087	38.484
ORL	80	mar_10_1_2	34.048	13.342
ORL	80	mar_10_1_2	45.964	22.361
ORL	80	mar_10_1_2	74.955	23.601
ORL	80	mar_10_1_2	24.067	13
ORL	80	mar_10_1_2	25.392	18.439
ORL	80	mar_10_1_2	36.273	17.72
ORL	80	mar_10_1_2	27.187	14.213
ORL	80	mar_10_1_2	92.74	31.953
ORL	80	mar_10_1_2	51.859	14.422
ORL	80	mar_10_1_2	22.05	14.142
ORL	80	mar_10_1_2	33.243	19.799
ORL	80	mar_10_1_2	53.324	18.111
ORL	80	mar_10_1_2	52.928	25.962
ORL	80	mar_10_1_2	102.779	52.802
ORL	80	mar_10_1_2	27.381	12.166
ORL	80	mar_10_1_2	81.207	68.949
ORL	80	mar_10_1_2	75.155	48.662
ORL	80	mar_10_1_2	99.244	52.802
ORL	80	mar_10_1_2	95.735	36.878
ORL	80	mar_10_1_2	96.22	66.37
ORL	80	mar_10_1_2	78.316	31.048
ORL	80	mar_10_1_2	48.621	11.18
ORL	80	mar_10_1_2	58.661	40.792
ORL	80	mar_10_1_2	53.053	17.493
ORL	80	mar_10_1_2	53.634	27.203
ORL	80	mar_10_1_2	49.445	20.809
ORL	80	mar_10_1_2	43.782	18.385
ORL	80	mar_10_1_2	50.989	15
ORL	80	mar_10_1_2	43.803	21.095
ORL	80	mar_10_1_2	45.797	12.369
ORL	80	mar_10_1_2	60.597	43.681
ORL	80	mar_10_1_2	42.308	27.785
ORL	80	mar_10_1_2	54.305	37.696
ORL	80	mar_10_1_2	59.082	24.759
ORL	80	mar_10_1_2	87.109	71.197
ORL	80	mar_10_1_2	63.14	49.477
ORL	80	mar_10_1_2	70.657	20.224
ORL	80	mar_10_1_2	70.078	23.854
ORL	80	mar_10_1_2	34.387	23.431
ORL	80	mar_10_1_2	50.251	24.187
ORL	80	mar_10_1_2	48.631	32.016
ORL	80	mar_10_1_2	24.189	20.616
ORL	80	mar_10_1_2	108.558	88.814
ORL	80	mar_10_1_2	36.484	12.369
ORL	80	mar_10_1_2	27.672	10.296
ORL	80	mar_10_1_2	44.584	37.59
ORL	80	mar_10_1_2	37.031	17.263
ORL	80	mar_10_1_2	61.717	43.186
ORL	80	mar_10_1_2	34	13.892
ORL	80	mar_10_1_2	57	16.125
ORL	80	mar_10_1_2	30.454	14.036
ORL	80	mar_10_1_2	83.665	30.463
ORL	80	mar_10_1_2	67.988	39.85
ORL	80	mar_10_1_2	50.282	16.125
ORL	80	mar_10_1_2	51.85	29.967
ORL	80	mar_10_1_2	43.588	11.662
ORL	80	mar_10_1_2	30.921	16.401
ORL	80	mar_10_1_2	32.287	14.422
ORL	80	mar_10_1_2	53.402	13.454
ORL	80	mar_10_1_2	47.044	32.985
ORL	80	mar_10_1_2	65.203	37.483
ORL	80	mar_10_1_2	88.525	28.844
ORL	80	mar_10_1_2	42.203	29.069
ORL	80	mar_10_1_2	36.203	27.019
ORL	80	mar_10_1_2	92.516	47.854
ORL	80	mar_10_1_2	63.691	17.263
ORL	80	mar_10_1_2	122.06	60.605
ORL	80	mar_10_1_2	69.434	30.594
ORL	80	mar_10_1_2	26.711	10.817
ORL	80	mar_10_1_2	35.94	13.928
ORL	80	mar_10_1_2	92.21	59.641
ORL	80	mar_10_1_2	107.05	74.626
ORL	80	mar_10_1_2	76.796	46.487
ORL	80	mar_10_1_2	51.271	16.401
ORL	80	mar_10_1_2	75.179	25.807
ORL	80	mar_10_1_2	33.359	8.246
ORL	80	mar_10_1_2	78.588	53.226
ORL	80	mar_10_1_2	52.654	11.402
ORL	80	mar_10_1_2	95.132	33.541
ORL	80	mar_10_1_2	95.732	33.541
ORL	80	mar_10_1_2	88.961	33.242
ORL	80	mar_10_1_2	87.54	23.601
ORL	80	mar_10_1_2	102.438	74.632
ORL	80	mar_10_1_2	84.685	31.385
ORL	80	mar_10_1_2	105.73	66.483
ORL	80	mar_10_1_2	59.996	28
ORL	80	mar_10_1_2	61.006	33.242
ORL	80	mar_10_1_2	60.722	25.495
ORL	80	mar_10_1_2	57.394	32.311
ORL	80	mar_10_1_2	68.207	32.311
ORL	80	mar_10_1_2	112.018	44.944
ORL	80	mar_10_1_2	147.673	118.802
ORL	80	mar_10_1_2	119.133	89.644
ORL	80	mar_10_1_2	32.875	14.318
ORL	80	mar_10_1_2	57.216	28.601
ORL	80	mar_10_1_2	53.657	18.028
ORL	80	mar_10_1_2	95.741	59.841
ORL	80	mar_10_1_2	142.491	87.464
ORL	80	mar_10_1_2	49.032	19.105
ORL	80	mar_10_1_2	64.831	17.029
ORL	80	mar_10_1_2	77.157	28.443
ORL	80	mar_10_1_2	75.092	43.932
ORL	80	mar_10_1_2	130.424	102.391
ORL	80	mar_10_1_2	46.169	28.071
ORL	80	mar_10_1_2	53.925	26.249
ORL	80	mar_10_1_2	47.213	28.284
ORL	80	mar_10_1_2	137.059	72.691
ORL	80	mar_10_1_2	60.875	14.318
ORL	80	mar_10_1_2	40.164	12.207
ORL	80	mar_10_1_2	92.81	44.911
ORL	80	mar_10_1_2	59.213	15.652
ORL	80	mar_10_1_2	50.674	12.207
ORL	80	mar_10_1_2	64.623	26.683
ORL	80	mar_10_1_2	71.123	38.601
ORL	80	mar_10_1_2	69.734	39.217
ORL	80	mar_10_1_2	78.955	41.4
ORL	80	mar_10_1_2	123.97	54.589
ORL	80	mar_10_1_2	55.867	31.145
ORL	80	mar_10_1_2	46.563	32.45
ORL	80	mar_10_1_2	54.39	31.145
ORL	80	mar_10_1_2	86.109	36.235
ORL	80	mar_10_1_2	56.914	43.658
ORL	80	mar_10_1_2	91.177	36.235
ORL	80	mar_10_1_2	39.986	21.633
ORL	80	mar_10_1_2	108.426	79.228
ORL	80	mar_10_1_2	60.333	41.231
ORL	80	mar_10_1_2	60.793	51.971
ORL	80	mar_10_1_2	68.766	20.881
ORL	80	mar_10_1_2	81.4	40.2
ORL	80	mar_10_1_2	60.611	33.734
ORL	80	mar_10_1_2	46.231	28.46
ORL	80	mar_10_1_2	58.709	38.588
ORL	80	mar_10_1_2	37.51	18
ORL	80	mar_10_1_2	39.82	20.616
ORL	80	mar_10_1_2	74.337	60
ORL	80	mar_10_1_2	74.338	34.713
ORL	80	mar_10_1_2	91.383	52.498
ORL	80	mar_10_1_2	50.172	20.616
ORL	80	mar_10_1_2	38.428	24.759
ORL	80	mar_10_1_2	43.733	35.384
ORL	80	mar_10_1_2	94.464	36.878
ORL	80	mar_10_1_2	78.186	51.884
ORL	80	mar_10_1_2	68.338	31.048
ORL	80	mar_10_1_2	49.341	41.629
ORL	80	mar_10_1_2	57.59	42.048
ORL	80	mar_10_1_2	69.757	54.083
ORL	80	mar_10_1_2	74.246	49.336
ORL	80	mar_10_1_2	93.687	52.498
ORL	80	mar_10_1_2	94.087	76.609
ORL	80	mar_10_1_2	73.55	54.083
ORL	80	mar_10_1_2	48.521	25.962
ORL	80	mar_10_1_2	55.877	32.202
ORL	80	mar_10_1_2	50.872	17.493
ORL	80	mar_10_1_2	53.404	33.838
ORL	80	mar_10_1_2	46.207	16.125
ORL	80	mar_10_1_2	41.273	26.401
ORL	80	mar_10_1_2	48.168	26.87
ORL	80	mar_10_1_2	53.027	36.222
ORL	80	mar_10_1_2	50.64	32.016
ORL	80	mar_10_1_2	52.103	28.844
ORL	80	mar_10_1_2	54.091	28.844
ORL	80	mar_10_1_2	46.951	27.785
ORL	80	mar_10_1_2	47.889	26.87
ORL	80	mar_10_1_2	60.857	22.847
