genotype	texture	date_plate	avg6	avg1
ORL	smooth	dec_1_1_1	108.459	51.522
ORL	smooth	dec_1_1_1	32.162	14.849
ORL	smooth	dec_1_1_1	61.46	49.704
ORL	smooth	dec_1_1_1	68.739	50.961
ORL	smooth	dec_1_1_1	56.429	35.419
ORL	smooth	dec_1_1_1	57.778	39.856
ORL	smooth	dec_1_1_1	58.14	35.107
ORL	smooth	dec_1_1_1	323.076	275.925
ORL	smooth	dec_1_1_1	240.535	83.487
ORL	smooth	dec_1_1_1	174.187	83.487
ORL	smooth	dec_1_1_1	161.609	48.337
ORL	smooth	dec_1_1_1	132.643	114.737
ORL	smooth	dec_1_1_1	172.046	80.895
ORL	smooth	dec_1_1_1	183.149	105.119
ORL	smooth	dec_1_1_1	218.523	134.201
ORL	smooth	dec_1_1_1	158.442	20.112
ORL	smooth	dec_1_1_1	167.25	105.119
ORL	smooth	dec_1_1_1	114.423	94.43
ORL	smooth	dec_1_1_1	128.983	20.012
ORL	smooth	dec_1_1_1	81.285	56.679
ORL	smooth	dec_1_1_1	32.765	27.322
ORL	smooth	dec_1_1_1	148.164	126.738
ORL	smooth	dec_1_1_1	106.26	60.171
ORL	smooth	dec_1_1_1	226.315	168.668
ORL	smooth	dec_1_1_1	56.82	20.94
ORL	smooth	dec_1_1_1	105.619	93.886
ORL	smooth	dec_1_1_1	169.29	138.221
ORL	smooth	dec_1_1_1	230.357	181.545
ORL	smooth	dec_1_1_1	421.431	260.946
ORL	smooth	dec_1_1_1	200.477	138.221
ORL	smooth	dec_1_1_1	27.223	12.104
ORL	smooth	dec_1_1_1	77.174	61.843
ORL	smooth	dec_1_1_1	315.822	189.402
ORL	smooth	dec_1_1_1	28.228	16.808
ORL	smooth	dec_1_1_1	210.871	152.048
ORL	smooth	dec_1_1_1	171.596	155.694
ORL	smooth	dec_1_1_1	46.735	28.504
ORL	smooth	dec_1_1_1	406.397	189.402
ORL	smooth	dec_1_1_1	245.584	178.933
ORL	smooth	dec_1_1_1	28.413	14.577
ORL	smooth	dec_1_1_1	28.551	21.225
ORL	smooth	dec_1_1_1	81.117	37.901
ORL	smooth	dec_1_1_1	123.967	108.335
ORL	smooth	dec_1_1_1	31.096	20.359
ORL	smooth	dec_1_1_1	25.177	19.039
ORL	smooth	dec_1_1_1	27.107	19.039
ORL	smooth	dec_1_1_1	52.276	43.417
ORL	smooth	dec_1_1_1	28.221	12.51
ORL	smooth	dec_1_1_1	170.364	149.902
ORL	smooth	dec_1_1_1	29.087	16.985
ORL	smooth	dec_1_1_1	30.05	19.506
ORL	smooth	dec_1_1_1	198.405	17.333
ORL	smooth	dec_1_1_1	193.159	17.333
ORL	smooth	dec_1_1_1	30.326	14.036
ORL	smooth	dec_1_1_1	22.514	14.036
ORL	smooth	dec_1_1_1	34.824	21.471
ORL	smooth	dec_1_1_1	22.89	14.765
ORL	smooth	dec_1_1_1	23.282	10
ORL	smooth	dec_1_1_1	28.976	10
ORL	smooth	dec_1_1_1	31.832	22.023
ORL	smooth	dec_1_1_1	30.16	23.195
ORL	smooth	dec_1_1_1	30.898	16.125
ORL	smooth	dec_1_1_1	19.465	14.318
ORL	smooth	dec_1_1_1	15.535	0
ORL	smooth	dec_1_1_1	15.535	0
ORL	smooth	dec_1_1_1	26.668	20
ORL	smooth	dec_1_1_1	23.764	17.464
ORL	smooth	dec_1_1_1	17.28	13.601
ORL	smooth	dec_1_1_1	19.612	13.454
ORL	smooth	dec_1_1_1	22.643	13.454
ORL	smooth	dec_1_1_1	22.717	10.44
ORL	smooth	dec_1_1_1	25.322	10.44
ORL	smooth	dec_1_1_1	29.052	13.342
ORL	smooth	dec_1_1_1	41.6	16.155
ORL	smooth	dec_1_1_1	214.567	10.44
ORL	smooth	dec_1_1_1	206.877	10.44
ORL	smooth	dec_1_1_1	48.535	33.121
ORL	smooth	dec_1_1_1	40.599	23.022
ORL	smooth	dec_1_1_1	42.452	23.022
ORL	smooth	dec_1_1_1	48.809	28.018
ORL	smooth	dec_1_1_1	47.248	26.571
ORL	smooth	dec_1_1_1	39.162	19.647
ORL	smooth	dec_1_1_1	48.4	34.059
ORL	smooth	dec_1_1_1	36.268	19.647
ORL	smooth	dec_1_1_1	36.901	14.036
ORL	smooth	dec_1_1_1	36.505	14.036
ORL	smooth	dec_1_1_1	49.928	31.953
ORL	smooth	dec_1_1_1	49.429	26.907
ORL	smooth	dec_1_1_1	56.216	25.08
ORL	smooth	dec_1_1_1	56.282	25.08
ORL	smooth	dec_1_1_1	46.858	26.926
ORL	smooth	dec_1_1_1	35.814	26.879
ORL	smooth	dec_1_1_1	36.933	14.849
ORL	smooth	dec_1_1_1	42.586	29.275
ORL	smooth	dec_1_1_1	53.527	29.275
ORL	smooth	dec_1_1_1	38.017	26.879
ORL	smooth	dec_1_1_1	41.236	30
