genotype,microns,grit1,grit2,eggcount,trialdate
LVP_WT,0,smooth,smooth,921,mar2
LVP_WT,0,smooth,smooth,915,mar2
LVP_WT,0,smooth,smooth,760,mar2
LVP_WT,0,smooth,smooth,753,mar2
LVP_WT,0,smooth,smooth,463,mar3
LVP_WT,0,smooth,smooth,447,mar3
LVP_WT,0,smooth,smooth,766,mar9
LVP_WT,0,smooth,smooth,731,mar9
LVP_WT,0,smooth,smooth,640,mar16
LVP_WT,0,smooth,smooth,585,mar23
LVP_WT,0,smooth,smooth,284,mar24
LVP_WT,0,smooth,smooth,797,mar24
LVP_WT,0,smooth,smooth,713,mar24
LVP_WT,0,smooth,smooth,449,mar30
LVP_WT,30.2,smooth,P500,751,mar9
LVP_WT,30.2,smooth,P500,757,mar9
LVP_WT,30.2,smooth,P500,837,mar10
LVP_WT,30.2,smooth,P500,956,mar10
LVP_WT,30.2,smooth,P500,560,mar16
LVP_WT,30.2,smooth,P500,747,mar16
LVP_WT,30.2,smooth,P500,622,mar23
LVP_WT,30.2,smooth,P500,609,mar23
LVP_WT,30.2,smooth,P500,721,mar24
LVP_WT,30.2,smooth,P500,428,mar24
LVP_WT,30.2,smooth,P500,672,mar30
LVP_WT,30.2,smooth,P500,876,mar30
LVP_WT,35,smooth,P400,751,mar9
LVP_WT,35,smooth,P400,949,mar9
LVP_WT,35,smooth,P400,565,mar9
LVP_WT,35,smooth,P400,955,mar16
LVP_WT,35,smooth,P400,872,mar16
LVP_WT,35,smooth,P400,575,mar16
LVP_WT,35,smooth,P400,600,mar17
LVP_WT,35,smooth,P400,634,mar17
LVP_WT,35,smooth,P400,471,mar24
LVP_WT,35,smooth,P400,784,mar24
LVP_WT,35,smooth,P400,626,mar30
LVP_WT,35,smooth,P400,788,mar30
LVP_WT,40.5,smooth,P360,764,mar2
LVP_WT,40.5,smooth,P360,836,mar2
LVP_WT,40.5,smooth,P360,532,mar3
LVP_WT,40.5,smooth,P360,609,mar3
LVP_WT,40.5,smooth,P360,520,mar10
LVP_WT,40.5,smooth,P360,731,mar10
LVP_WT,40.5,smooth,P360,714,mar17
LVP_WT,40.5,smooth,P360,716,mar17
LVP_WT,40.5,smooth,P360,457,mar23
LVP_WT,40.5,smooth,P360,823,mar23
LVP_WT,40.5,smooth,P360,610,mar24
LVP_WT,40.5,smooth,P360,516,mar24
LVP_WT,46.2,smooth,P320,446,mar3
LVP_WT,46.2,smooth,P320,523,mar3
LVP_WT,46.2,smooth,P320,701,mar9
LVP_WT,46.2,smooth,P320,638,mar9
LVP_WT,46.2,smooth,P320,856,mar10
LVP_WT,46.2,smooth,P320,792,mar10
LVP_WT,46.2,smooth,P320,543,mar17
LVP_WT,46.2,smooth,P320,813,mar17
LVP_WT,46.2,smooth,P320,395,mar23
LVP_WT,46.2,smooth,P320,525,mar23
LVP_WT,46.2,smooth,P320,794,mar30
LVP_WT,46.2,smooth,P320,817,mar30
LVP_WT,68,smooth,P220,964,mar2
LVP_WT,68,smooth,P220,825,mar2
LVP_WT,68,smooth,P220,681,mar3
LVP_WT,68,smooth,P220,641,mar3
LVP_WT,68,smooth,P220,869,mar10
LVP_WT,68,smooth,P220,514,mar10
LVP_WT,68,smooth,P220,742,mar17
LVP_WT,68,smooth,P220,915,mar17
LVP_WT,68,smooth,P220,323,mar23
LVP_WT,68,smooth,P220,543,mar23
LVP_WT,68,smooth,P220,676,mar24
LVP_WT,68,smooth,P220,604,mar24
LVP_WT,82,smooth,P180,672,mar2
LVP_WT,82,smooth,P180,896,mar2
LVP_WT,82,smooth,P180,775,mar9
LVP_WT,82,smooth,P180,568,mar9
LVP_WT,82,smooth,P180,916,mar9
LVP_WT,82,smooth,P180,831,mar10
LVP_WT,82,smooth,P180,725,mar10
LVP_WT,82,smooth,P180,650,mar16
LVP_WT,82,smooth,P180,350,mar23
LVP_WT,82,smooth,P180,754,mar23
LVP_WT,82,smooth,P180,776,mar30
LVP_WT,82,smooth,P180,1034,mar30
LVP_WT,92,smooth,150,579,mar2
LVP_WT,92,smooth,150,891,mar2
LVP_WT,92,smooth,150,582,mar3
LVP_WT,92,smooth,150,687,mar3
LVP_WT,92,smooth,150,465,mar10
LVP_WT,92,smooth,150,775,mar10
LVP_WT,92,smooth,150,795,mar17
LVP_WT,92,smooth,150,871,mar17
LVP_WT,92,smooth,150,780,mar23
LVP_WT,92,smooth,150,556,mar23
LVP_WT,92,smooth,150,513,mar30
LVP_WT,92,smooth,150,772,mar30
LVP_WT,115,smooth,120,530,mar2
LVP_WT,115,smooth,120,805,mar2
LVP_WT,115,smooth,120,789,mar3
LVP_WT,115,smooth,120,624,mar3
LVP_WT,115,smooth,120,947,mar16
LVP_WT,115,smooth,120,847,mar16
LVP_WT,115,smooth,120,617,mar23
LVP_WT,115,smooth,120,475,mar23
LVP_WT,115,smooth,120,384,mar24
LVP_WT,115,smooth,120,505,mar24
LVP_WT,115,smooth,120,937,mar30
LVP_WT,115,smooth,120,851,mar30
LVP_WT,190,smooth,80,819,mar3
LVP_WT,190,smooth,80,742,mar3
LVP_WT,190,smooth,80,886,mar10
LVP_WT,190,smooth,80,808,mar10
LVP_WT,190,smooth,80,884,mar16
LVP_WT,190,smooth,80,768,mar16
LVP_WT,190,smooth,80,515,mar23
LVP_WT,190,smooth,80,546,mar23
LVP_WT,190,smooth,80,656,mar24
LVP_WT,190,smooth,80,638,mar24
LVP_WT,190,smooth,80,860,mar30
LVP_WT,190,smooth,80,646,mar30
ORL_WT,0,smooth,smooth,908,mar2
ORL_WT,0,smooth,smooth,834,mar2
ORL_WT,0,smooth,smooth,1062,mar2
ORL_WT,0,smooth,smooth,815,mar2
ORL_WT,0,smooth,smooth,736,mar3
ORL_WT,0,smooth,smooth,1069,mar9
ORL_WT,0,smooth,smooth,1287,mar9
ORL_WT,0,smooth,smooth,1135,mar16
ORL_WT,0,smooth,smooth,1081,mar16
ORL_WT,0,smooth,smooth,979,mar23
ORL_WT,0,smooth,smooth,869,mar24
ORL_WT,0,smooth,smooth,712,mar24
ORL_WT,0,smooth,smooth,878,mar24
ORL_WT,0,smooth,smooth,1008,mar30
ORL_WT,30.2,smooth,P500,916,mar9
ORL_WT,30.2,smooth,P500,829,mar9
ORL_WT,30.2,smooth,P500,922,mar10
ORL_WT,30.2,smooth,P500,976,mar10
ORL_WT,30.2,smooth,P500,943,mar16
ORL_WT,30.2,smooth,P500,1037,mar16
ORL_WT,30.2,smooth,P500,975,mar23
ORL_WT,30.2,smooth,P500,890,mar23
ORL_WT,30.2,smooth,P500,731,mar24
ORL_WT,30.2,smooth,P500,943,mar24
ORL_WT,30.2,smooth,P500,939,mar30
ORL_WT,30.2,smooth,P500,1030,mar30
ORL_WT,35,smooth,P400,1144,mar9
ORL_WT,35,smooth,P400,972,mar9
ORL_WT,35,smooth,P400,846,mar9
ORL_WT,35,smooth,P400,797,mar9
ORL_WT,35,smooth,P400,1081,mar9
ORL_WT,35,smooth,P400,1152,mar16
ORL_WT,35,smooth,P400,830,mar17
ORL_WT,35,smooth,P400,867,mar17
ORL_WT,35,smooth,P400,838,mar24
ORL_WT,35,smooth,P400,781,mar24
ORL_WT,35,smooth,P400,948,mar30
ORL_WT,35,smooth,P400,960,mar30
ORL_WT,40.5,smooth,P360,1032,mar2
ORL_WT,40.5,smooth,P360,926,mar2
ORL_WT,40.5,smooth,P360,744,mar3
ORL_WT,40.5,smooth,P360,908,mar3
ORL_WT,40.5,smooth,P360,886,mar10
ORL_WT,40.5,smooth,P360,874,mar10
ORL_WT,40.5,smooth,P360,801,mar17
ORL_WT,40.5,smooth,P360,765,mar17
ORL_WT,40.5,smooth,P360,959,mar23
ORL_WT,40.5,smooth,P360,848,mar23
ORL_WT,40.5,smooth,P360,925,mar24
ORL_WT,40.5,smooth,P360,986,mar24
ORL_WT,46.2,smooth,P320,972,mar3
ORL_WT,46.2,smooth,P320,1078,mar3
ORL_WT,46.2,smooth,P320,914,mar9
ORL_WT,46.2,smooth,P320,954,mar9
ORL_WT,46.2,smooth,P320,698,mar10
ORL_WT,46.2,smooth,P320,921,mar10
ORL_WT,46.2,smooth,P320,1017,mar17
ORL_WT,46.2,smooth,P320,1134,mar17
ORL_WT,46.2,smooth,P320,870,mar23
ORL_WT,46.2,smooth,P320,894,mar23
ORL_WT,46.2,smooth,P320,933,mar30
ORL_WT,46.2,smooth,P320,963,mar30
ORL_WT,68,smooth,P220,1061,mar2
ORL_WT,68,smooth,P220,835,mar2
ORL_WT,68,smooth,P220,948,mar3
ORL_WT,68,smooth,P220,847,mar3
ORL_WT,68,smooth,P220,833,mar10
ORL_WT,68,smooth,P220,963,mar10
ORL_WT,68,smooth,P220,940,mar17
ORL_WT,68,smooth,P220,858,mar17
ORL_WT,68,smooth,P220,895,mar23
ORL_WT,68,smooth,P220,711,mar23
ORL_WT,68,smooth,P220,865,mar24
ORL_WT,68,smooth,P220,909,mar24
ORL_WT,82,smooth,P180,963,mar2
ORL_WT,82,smooth,P180,1066,mar2
ORL_WT,82,smooth,P180,1093,mar9
ORL_WT,82,smooth,P180,999,mar10
ORL_WT,82,smooth,P180,867,mar10
ORL_WT,82,smooth,P180,1102,mar16
ORL_WT,82,smooth,P180,991,mar16
ORL_WT,82,smooth,P180,1108,mar16
