microns,grit1,grit2,preference,trialdate
0,smooth,smooth,-0.182539683,nov2
0,smooth,smooth,0.111612176,nov2
0,smooth,smooth,-0.003690037,nov10
0,smooth,smooth,0.246220302,nov10
0,smooth,smooth,-0.066548358,nov11
0,smooth,smooth,-0.195544554,nov11
0,smooth,smooth,0.235543018,nov16
0,smooth,smooth,0.088461538,nov17
0,smooth,smooth,-0.031007752,nov23
0,smooth,smooth,0.039473684,nov23
0,smooth,smooth,-0.142520612,nov24
0,smooth,smooth,0.2,nov30
0,smooth,smooth,-0.243469175,dec1
0,smooth,smooth,0.098743268,dec7
0,smooth,smooth,-0.310572687,dec14
0,smooth,smooth,0.159541189,dec15
0,smooth,smooth,-0.071180556,dec22
0,smooth,smooth,0.104395604,dec23
30.2,smooth,P500,0.1021611,nov16
30.2,smooth,P500,0.299009901,nov16
30.2,smooth,P500,0.418556701,nov16
30.2,smooth,P500,0.269510926,nov23
30.2,smooth,P500,0.736434109,nov23
30.2,smooth,P500,0.054448871,nov23
30.2,smooth,P500,0.408977556,nov24
30.2,smooth,P500,0.25701459,nov24
30.2,smooth,P500,0.366,nov30
30.2,smooth,P500,0.188118812,nov30
30.2,smooth,P500,0.237347295,dec7
30.2,smooth,P500,0.309859155,dec7
30.2,smooth,P500,0.310661765,dec7
30.2,smooth,P500,0.158878505,dec14
30.2,smooth,P500,0.009174312,dec14
30.2,smooth,P500,0.202714165,dec23
30.2,smooth,P500,0.321047527,dec23
30.2,smooth,P500,0.493996569,dec23
30.2,smooth,P500,0.466666667,dec23
35,smooth,P400,0.099502488,nov11
35,smooth,P400,0.074954296,nov11
35,smooth,P400,0.1561051,nov11
35,smooth,P400,0.305882353,nov16
35,smooth,P400,0.148594378,nov16
35,smooth,P400,0.048275862,nov23
35,smooth,P400,0.507119387,nov23
35,smooth,P400,0.190211346,nov24
35,smooth,P400,0.342503439,nov24
35,smooth,P400,0.194906954,nov30
35,smooth,P400,-0.014285714,nov30
35,smooth,P400,0.274885845,dec7
35,smooth,P400,-0.008746356,dec7
35,smooth,P400,0.482529118,dec7
35,smooth,P400,0.435114504,dec15
35,smooth,P400,0.453051643,dec15
35,smooth,P400,0.062039958,dec15
35,smooth,P400,0.425366695,dec22
35,smooth,P400,0.26987682,dec22
35,smooth,P400,0.679214403,dec22
35,smooth,P400,0.374784111,dec22
40.5,smooth,P360,0.447470817,nov16
40.5,smooth,P360,0.643255295,nov16
40.5,smooth,P360,0.367906067,nov16
40.5,smooth,P360,0.254736842,nov17
40.5,smooth,P360,0.169340463,nov17
